Part Name,Library Ref,Footprint Ref,CreatedBy,HelpURL,Manufacturer 1,Manufacturer 1 Part Number,Vendor 1,Vendor 1 Part Number,Description,Value,Comment
"Trans,NPN,25V,50mA,650MHz,SOT23-3","Trans,NPN,25V,50mA,650MHz,SOT23-3",DIODES_SOT23,Judd Foster,https://www.diodes.com/assets/Datasheets/ds31031.pdf,Diodes Incorporated,MMBTH10-7-F,Digikey,MMBTH10-FDICT-ND,RF Transistor NPN 25V 50mA 650MHz 300mW Surface Mount SOT-23-3,,=Manufacturer 1 Part Number
"MECH,STANDOFF,ID3.3MM,H4MM,SMD","MECH,STANDOFF,ID3.3MM,H4MM,SMD",WURTH_9774040960R,Judd Foster,https://www.we-online.com/components/products/datasheet/9774040960R.pdf,W�rth Elektronik,9774040960R,Digikey,732-7092-1-ND,"Round Spacer Unthreaded Steel 0.157"" (4.00mm)",,=Manufacturer 1 Part Number
"FIDUCIAL,SMD,1MM",FIDUCIAL,FID_1MM,Judd Foster,N/A,N/A,N/A,N/A,N/A,"Fiducial, SMD, 1mm",,
"74HC595BQ,115","74HC595BQ,115",PQFN50P250X350X100-16T,Judd Foster,https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf,Nexperia USA Inc.,"74HC595BQ,115",Digikey,1727-3327-1-ND,Shift Shift Register 1 Element 8 Bit 16-DHVQFN (2.5x3.5),,=Manufacturer 1 Part Number
"74HCT244BQ,115","74HCT244BQ,115",PQFN50P250X450X100-20T,Judd Foster,https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf,Nexperia USA Inc.,"74HCT244BQ,115",Digikey,1727-6928-1-ND,"Buffer, Non-Inverting 2 Element 4 Bit per Element 3-State Output 20-DHVQFN (4.5x2.5)",,=Manufacturer 1 Part Number
"74HCT595PW,118","74HCT595PW,118",TSOP65P640X110-16N,Judd Foster,https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf,Nexperia USA Inc.,"74HCT595PW,118",Digikey,1727-2858-1-ND,Shift Shift Register 1 Element 8 Bit 16-TSSOP,,=Manufacturer 1 Part Number
A3930KJPTR-T,A3930KJPTR-T,ALLEGRO_A3930KJPTR-T,Judd Foster,https://www.allegromicro.com/~/media/Files/Datasheets/A3930-1-Datasheet.ashx,Allegro MicroSystems,A3930KJPTR-T,Digikey,620-1289-1-ND,Motor Driver Power MOSFET Parallel 48-LQFP-EP (7x7),,=Manufacturer 1 Part Number
AOZ1360AIL,AOZ1360AIL,ALPHAOMEGA_SO-8L,Judd Foster,https://pdf.dzsc.com/130426/AO6408.pdf,Alpha & Omega Semiconductor Inc.,AOZ1360AIL,Digikey,785-1418-1-ND,Power Switch/Driver 1:1 P-Channel 8-SOIC,,=Manufacturer 1 Part Number
AP2115M-3.3TRG1,AP2115M-3.3TRG1,DIODES_SO-8,Judd Foster,https://www.diodes.com/assets/Datasheets/AP2115.pdf,Diodes Incorporated,AP2115M-3.3TRG1,Digikey,AP2115M-3.3TRG1DICT-ND,Linear Voltage Regulator IC  1 Output  1A 8-SOIC,,=Manufacturer 1 Part Number
ATA6561-GAQW-N,ATA6561-GAQW-N,SOIC127P540X175,Judd Foster,https://ww1.microchip.com/downloads/en/DeviceDoc/20005991B.pdf,Microchip Technology,ATA6561-GAQW-N,Digikey,ATA6561-GAQW-NCT-ND,1/1 Transceiver CANbus 8-SO,,=Manufacturer 1 Part Number
